Record Date,State,Interest Rate Percent,Record Fiscal Year,Record Fiscal Quarter,Record Calendar Year,Record Calendar Month
2016-10-28,New York,2.22559842,2017,1,2016,4
2016-10-28,North Carolina,2.22559842,2017,1,2016,4
2016-10-28,Ohio,2.22559842,2017,1,2016,4
2016-10-28,Rhode Island,2.22559842,2017,1,2016,4
2016-10-28,South Carolina,2.22559842,2017,1,2016,4
2016-10-28,Virgin Islands,2.22559842,2017,1,2016,4
2016-10-31,Arizona,2.22559842,2017,1,2016,4
2016-10-31,Arkansas,2.22559842,2017,1,2016,4
2016-10-31,California,2.22559842,2017,1,2016,4
2016-10-31,Connecticut,2.22559842,2017,1,2016,4
2016-10-31,Delaware,2.22559842,2017,1,2016,4
2016-10-31,Indiana,2.22559842,2017,1,2016,4
2016-10-31,Kentucky,2.22559842,2017,1,2016,4
2016-10-31,New York,2.22559842,2017,1,2016,4
2016-10-31,North Carolina,2.22559842,2017,1,2016,4
2016-10-31,Ohio,2.22559842,2017,1,2016,4
2016-10-31,Rhode Island,2.22559842,2017,1,2016,4
2016-10-31,South Carolina,2.22559842,2017,1,2016,4
2016-10-31,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-01,Arizona,2.22559842,2017,1,2016,4
2016-11-01,Arkansas,2.22559842,2017,1,2016,4
2016-11-01,California,2.22559842,2017,1,2016,4
2016-11-01,Connecticut,2.22559842,2017,1,2016,4
2016-11-01,Delaware,2.22559842,2017,1,2016,4
2016-11-01,Indiana,2.22559842,2017,1,2016,4
2016-11-01,Kentucky,2.22559842,2017,1,2016,4
2016-11-01,New York,2.22559842,2017,1,2016,4
2016-11-01,North Carolina,2.22559842,2017,1,2016,4
2016-11-01,Ohio,2.22559842,2017,1,2016,4
2016-11-01,Rhode Island,2.22559842,2017,1,2016,4
2016-11-01,South Carolina,2.22559842,2017,1,2016,4
2016-11-01,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-02,Arizona,2.22559842,2017,1,2016,4
2016-11-02,Arkansas,2.22559842,2017,1,2016,4
2016-11-02,California,2.22559842,2017,1,2016,4
2016-11-02,Connecticut,2.22559842,2017,1,2016,4
2016-11-02,Delaware,2.22559842,2017,1,2016,4
2016-11-02,Indiana,2.22559842,2017,1,2016,4
2016-11-02,Kentucky,2.22559842,2017,1,2016,4
2016-11-02,New York,2.22559842,2017,1,2016,4
2016-11-02,North Carolina,2.22559842,2017,1,2016,4
2016-11-02,Ohio,2.22559842,2017,1,2016,4
2016-11-02,Rhode Island,2.22559842,2017,1,2016,4
2016-11-02,South Carolina,2.22559842,2017,1,2016,4
2016-11-02,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-03,Arizona,2.22559842,2017,1,2016,4
2016-11-03,Arkansas,2.22559842,2017,1,2016,4
2016-11-03,California,2.22559842,2017,1,2016,4
2016-11-03,Connecticut,2.22559842,2017,1,2016,4
2016-11-03,Delaware,2.22559842,2017,1,2016,4
2016-11-03,Indiana,2.22559842,2017,1,2016,4
2016-11-03,Kentucky,2.22559842,2017,1,2016,4
2016-11-03,New York,2.22559842,2017,1,2016,4
2016-11-03,North Carolina,2.22559842,2017,1,2016,4
2016-11-03,Ohio,2.22559842,2017,1,2016,4
2016-11-03,Rhode Island,2.22559842,2017,1,2016,4
2016-11-03,South Carolina,2.22559842,2017,1,2016,4
2016-11-03,Virgin Islands,2.22559842,2017,1,2016,4
2016-11-04,Arizona,2.22559842,2017,1,2016,4
2016-11-04,Arkansas,2.22559842,2017,1,2016,4
2016-11-04,California,2.22559842,2017,1,2016,4
